126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,07/01/2023,08/01/2023,500,cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,08/01/2023,09/01/2023,400,cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,09/01/2023,10/01/2023,"1,200",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,10/01/2022,11/01/2022,0,cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,11/01/2022,12/01/2022,0,cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,12/01/2022,01/01/2023,0,cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,01/01/2023,02/01/2023,"3,700",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,02/01/2023,03/01/2023,"8,800",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,03/01/2023,04/01/2023,"7,500",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,04/01/2023,05/01/2023,"9,400",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,05/01/2023,06/01/2023,"4,600",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,06/01/2023,07/01/2023,"4,300",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,07/01/2023,08/01/2023,"5,400",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,08/01/2023,09/01/2023,"3,100",cf
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow,09/01/2023,10/01/2023,"7,700",cf





134 S Professor St - Allencroft,41-00490-1,Electricity,10/01/2022,11/01/2022,"1,575",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,11/01/2022,12/01/2022,"2,007",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,12/01/2022,01/01/2023,"1,829",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,01/01/2023,02/01/2023,"3,472",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,02/01/2023,03/01/2023,"4,052",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,03/01/2023,04/01/2023,"3,923",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,04/01/2023,05/01/2023,"2,567",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,05/01/2023,06/01/2023,"1,528",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,06/01/2023,07/01/2023,"1,016",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,07/01/2023,08/01/2023,813,kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,08/01/2023,09/01/2023,"1,338",kWh
134 S Professor St - Allencroft,41-00490-1,Electricity,09/01/2023,10/01/2023,"1,604",kWh
134 S Professor St - Allencroft,41-00490-1,Low Flow,10/01/2022,11/01/2022,"6,400",cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,11/01/2022,12/01/2022,"3,700",cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,12/01/2022,01/01/2023,600,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,01/01/2023,02/01/2023,"1,600",cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,02/01/2023,03/01/2023,"1,200",cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,03/01/2023,04/01/2023,800,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,04/01/2023,05/01/2023,"1,400",cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,05/01/2023,06/01/2023,900,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,06/01/2023,07/01/2023,200,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,07/01/2023,08/01/2023,100,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,08/01/2023,09/01/2023,100,cf
134 S Professor St - Allencroft,41-00490-1,Low Flow,09/01/2023,10/01/2023,400,cf





140 W College St - Dascomb,41-00290-1,Electricity,10/01/2022,11/01/2022,"37,320",kWh
140 W College St - Dascomb,41-00290-1,Electricity,11/01/2022,12/01/2022,"39,720",kWh
140 W College St - Dascomb,41-00290-1,Electricity,12/01/2022,01/01/2023,"44,640",kWh
140 W College St - Dascomb,41-00290-1,Electricity,01/01/2023,02/01/2023,"39,800",kWh
140 W College St - Dascomb,41-00290-1,Electricity,02/01/2023,03/01/2023,"39,400",kWh
140 W College St - Dascomb,41-00290-1,Electricity,03/01/2023,04/01/2023,"41,480",kWh
140 W College St - Dascomb,41-00290-1,Electricity,04/01/2023,05/01/2023,"37,040",kWh
140 W College St - Dascomb,41-00290-1,Electricity,05/01/2023,06/01/2023,"30,400",kWh
140 W College St - Dascomb,41-00290-1,Electricity,06/01/2023,07/01/2023,"23,280",kWh
140 W College St - Dascomb,41-00290-1,Electricity,07/01/2023,08/01/2023,"28,080",kWh
140 W College St - Dascomb,41-00290-1,Electricity,08/01/2023,09/01/2023,"26,800",kWh
140 W College St - Dascomb,41-00290-1,Electricity,09/01/2023,10/01/2023,"36,360",kWh
140 W College St - Dascomb,41-00290-1,Low Flow,10/01/2022,11/01/2022,"12,400",cf
140 W College St - Dascomb,41-00290-1,Low Flow,11/01/2022,12/01/2022,"13,900",cf
140 W College St - Dascomb,41-00290-1,Low Flow,12/01/2022,01/01/2023,"10,900",cf
140 W College St - Dascomb,41-00290-1,Low Flow,01/01/2023,02/01/2023,"7,400",cf
140 W College St - Dascomb,41-00290-1,Low Flow,02/01/2023,03/01/2023,"14,300",cf
140 W College St - Dascomb,41-00290-1,Low Flow,03/01/2023,04/01/2023,"12,700",cf
140 W College St - Dascomb,41-00290-1,Low Flow,04/01/2023,05/01/2023,"15,100",cf
140 W College St - Dascomb,41-00290-1,Low Flow,05/01/2023,06/01/2023,"7,300",cf
140 W College St - Dascomb,41-00290-1,Low Flow,06/01/2023,07/01/2023,900,cf
140 W College St - Dascomb,41-00290-1,Low Flow,07/01/2023,08/01/2023,"2,200",cf
140 W College St - Dascomb,41-00290-1,Low Flow,08/01/2023,09/01/2023,"2,900",cf
140 W College St - Dascomb,41-00290-1,Low Flow,09/01/2023,10/01/2023,"14,900",cf
140 W College St - Dascomb,41-00292-1,High Flow,10/01/2022,11/01/2022,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,11/01/2022,12/01/2022,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,12/01/2022,01/01/2023,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,01/01/2023,02/01/2023,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,02/01/2023,03/01/2023,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,03/01/2023,04/01/2023,0,cf
140 W College St - Dascomb,41-00292-1,High Flow,04/01/2023,05/01/2023,0,cf
